date,VaR_95,VaR_99
2015-05-29,-3.036811614885139,-5.336764145682662
2015-06-01,-3.0259242762099987,-5.317631197692541
2015-06-02,-2.898688679746794,-5.094032747946405
2015-06-03,-2.8109746669698494,-4.939887855926274
2015-06-04,-2.711743192644338,-4.765502664659265
2015-06-05,-2.666235228035448,-4.685528894578401
2015-06-08,-2.6236530304324024,-4.6106967435492034
2015-06-09,-2.601600184826621,-4.571942006455094
2015-06-10,-2.54560388528711,-4.473536480669896
2015-06-11,-2.5827583917951342,-4.53883023719093
2015-06-12,-2.524903046941616,-4.437157703887595
2015-06-15,-2.5975910669332456,-4.56489655242551
2015-06-16,-2.5359684230871142,-4.456603527389565
2015-06-17,-2.4935659148941713,-4.382087154921175
2015-06-18,-2.449735914353658,-4.305062167844817
2015-06-19,-2.4146769902059217,-4.243451099031474
2015-06-22,-2.4867350861423785,-4.370082945707413
2015-06-23,-2.4795438387548265,-4.357445352044207
2015-06-24,-2.4559874432564435,-4.31604834003296
2015-06-25,-2.460942897301969,-4.324756845146058
2015-06-26,-2.4426506859324424,-4.292610887423939
2015-06-29,-2.4406389038910135,-4.289075466848292
2015-06-30,-2.7058970796922006,-4.755228953296449
2015-07-01,-2.654801313440176,-4.665435417209654
2015-07-02,-2.639086323344296,-4.637818559027747
2015-07-06,-2.5681812698973845,-4.513213020400188
2015-07-07,-2.521052725901819,-4.430391312724628
2015-07-08,-2.473725676627065,-4.34722076027664
2015-07-09,-2.997807606697115,-5.2682201532217965
2015-07-10,-3.222624196127594,-5.663303308181547
2015-07-13,-3.5197467812244096,-6.185453958305825
2015-07-14,-3.550229019457406,-6.239022153081109
2015-07-15,-3.3580244303354254,-5.901249946588593
2015-07-16,-3.2412093816532983,-5.6959641262804634
2015-07-17,-3.1959701177547304,-5.61646255945045
2015-07-20,-3.089898311024878,-5.430056457653099
2015-07-21,-3.1895801074472985,-5.605233025905434
2015-07-22,-3.1301394856344076,-5.500774593998351
2015-07-23,-4.227312684893895,-7.428900317277185
2015-07-24,-3.95745211778091,-6.954658783214612
2015-07-27,-3.740477937649342,-6.573357546289238
2015-07-28,-3.66677595519503,-6.443836803053152
2015-07-29,-3.470201019020699,-6.098384333702429
2015-07-30,-3.2981343284955487,-5.79600161751421
2015-07-31,-3.1615750787049905,-5.556018174197745
2015-08-03,-3.087042952295718,-5.425038571125614
2015-08-04,-3.3953716287567195,-5.966882331718942
2015-08-05,-3.9412010523949004,-6.92609984901662
2015-08-06,-3.722061279097868,-6.540992890358974
2015-08-07,-3.5153732773058777,-6.17776814770466
2015-08-10,-3.330226359547928,-5.852398794027562
2015-08-11,-3.943455350596815,-6.930061457223954
2015-08-12,-5.222952044929278,-9.1785947707042
2015-08-13,-4.9427694860740825,-8.68621380541321
2015-08-14,-4.596493240691992,-8.077682593994407
2015-08-17,-4.305002117321805,-7.565428436258114
2015-08-18,-4.07495150876277,-7.161147237703501
2015-08-19,-3.8468403771740682,-6.7602743938541705
2015-08-20,-3.7375633499600327,-6.568235573295092
2015-08-21,-3.8155362786032008,-6.705261896520765
2015-08-24,-5.63069127276887,-9.895138424995041
2015-08-25,-5.506479673653727,-9.67685422014466
2015-08-26,-5.1122469980466265,-8.984046408845474
2015-08-27,-6.026219537193773,-10.590223049224113
2015-08-28,-5.884141743226592,-10.340541550040824
2015-08-31,-5.442812018634322,-9.56496737906377
2015-09-01,-5.057955339786279,-8.888636547465438
2015-09-02,-5.661915031007206,-9.95000973562987
2015-09-03,-5.932126510124554,-10.424867947590405
2015-09-04,-5.626977029465726,-9.88861117108459
2015-09-08,-5.261675515220635,-9.246645757744153
2015-09-09,-5.200285899707447,-9.13876224683351
2015-09-10,-5.018880969938099,-8.819968904402304
2015-09-11,-4.871059405100553,-8.560193545497285
2015-09-14,-4.622408762653587,-8.123225434960695
2015-09-15,-4.348066608575747,-7.64110814972786
2015-09-16,-4.09484925503654,-7.196114694483912
2015-09-17,-3.8385645835855926,-6.745730864619902
2015-09-18,-3.921168564606482,-6.890895603203664
2015-09-21,-3.700465687032654,-6.503041711275783
2015-09-22,-3.6239143496486808,-6.368513632335233
2015-09-23,-3.6053277866754296,-6.335850393568323
2015-09-24,-3.4394821293863655,-6.044400257774856
2015-09-25,-3.2768631225618807,-5.758620500883265
2015-09-28,-3.125611914614657,-5.492818032397097
